url,title,price,sales
https://www.etsy.com/listing/1171848210/925-sterling-silver-ring-hug-ring?click_key=1860b642394f1b2c0f1ed467af08417bdfaead70%3A1171848210&click_sum=4b764755&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6618-1-1&pro=1&edd=1,"925 Sterling Silver Ring, Hug Ring, Stackable Ring, Minimalist Ring, Love Ring, Adjustable Ring, Gift for Women, Bestseller, Summer Jewelry",271106,568
https://www.etsy.com/listing/651649041/silver-name-necklace-for-women?click_key=50fcbd1612e362c1a74a136e01f48be84c5acf29%3A651649041&click_sum=e9970e6c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6618-1-2&pro=1&edd=1&sts=1,"Silver Name Necklace For Women, Personalized Jewelry, Custom Gold Name Necklace,Christmas Gift,Personalized Gift For Women,Christmas Jewelry",190127,10365
https://www.etsy.com/listing/888101543/crescent-moon-necklace-stevie-nicks?click_key=0ec631e521860ff6a5280a1e3694e7b6c706b6cc%3A888101543&click_sum=7ab0739f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6618-1-3&pro=1&edd=1&sts=1,"Crescent Moon Necklace, Stevie Nicks Pendant, Personalized gift for Women, Gold Filled Necklace, Bridesmaid Gift, Christmas Gifts for Women",419108,916
https://www.etsy.com/listing/1321560192/solid-gold-name-necklace-personalized?click_key=955108aa7a32f6702bf8deecc6e7e8ebc6f31221%3A1321560192&click_sum=4c7a4a19&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6618-1-4&pro=1&frs=1&edd=1,"Solid Gold Name Necklace, Personalized Name Necklaces, Personalized Gifts, Gold Nameplated Necklace, Custom Name Necklace, Gift for Women",476115,5
https://www.etsy.com/listing/1116408691/name-necklace-with-birth-flower?click_key=755bece8eec54571fb493a77c04df052518de8a9%3A1116408691&click_sum=cb302982&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-1&pro=1&edd=1,"Name Necklace with Birth Flower, Personalized Necklace, Custom Birth Flower Minimalist Jewelry, Wildflower Pendant Christmas gift for Her",314190,187
https://www.etsy.com/listing/1317733254/christmas-gift-for-her-gift-for-mum-gift?click_key=7f4e1c167021b157e27d019a068c0f5a51142423%3A1317733254&click_sum=6b835bbc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-2&pro=1&edd=1,Christmas gift for her gift for Mum gift for Girlfriend Christmas gift ideas gift for wife gift for sister gift for woman Custom Jewelry box,148438,9585
https://www.etsy.com/listing/875609933/personalized-initial-resin-keychains?click_key=68c3b41290bb406da5e8883ac027bf1d1282a38d%3A875609933&click_sum=86c15929&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-3&edd=1&pop=1&sts=1,Personalized initial resin keychains with inlaid flowers - Christmas gift idea,115192,1678
https://www.etsy.com/listing/1024901013/sleep-well-gift-box-relaxation-pamper?click_key=f391abacfd75fd12629dc2bb57288b60163821b0%3A1024901013&click_sum=c63625bb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-4&edd=1&pop=1&sts=1,Sleep Well Gift Box /relaxation pamper gift /wellbeing letterbox gift /Christmas gift,214648,1831
https://www.etsy.com/listing/1317174043/limited-edition-handmade-resin-bookmark?click_key=e9cb6edfdbaab34a7cc31af5a2db61bd03ad518e%3A1317174043&click_sum=4c07afc9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-5&edd=1&pop=1&sts=1,"Limited Edition Handmade Resin Bookmark with dried flowers and gold leaf, Personalised bookmark, unique gift for her, Book lover gift",146484,207
https://www.etsy.com/listing/733759013/gift-for-men-docking-station-it-keeps?click_key=f870c011d2172304b9b56d043151725f85ade1f4%3A733759013&click_sum=86adbc4d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-6&pro=1&edd=1&sts=1,"Gift for Men Docking Station, It keeps all personal items organized, Gift for Him, Christmas Gift, Personalized Gift, Gift for Husband",381369,10671
https://www.etsy.com/listing/1327561223/chamomile-honey-gift-set-soaps-large?click_key=79f4b58a56172f127ead33bce0a520439f108f76%3A1327561223&click_sum=399db28f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-7&edd=1&pop=1,"Chamomile, Honey Gift Set - Soaps, Large Bath Bomb & Bath Salt in Corked Jar. All Natural Ingredients. Vegan, Christmas present",195117,1902
https://www.etsy.com/listing/1005251041/a-little-pocket-bear-hug-ready-to-give?click_key=d4607d5eed0f458e6227300f15cd3dbe0c070383%3A1005251041&click_sum=8122c59a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-6619-1-8&edd=1&pop=1,A Little Pocket Bear Hug - ready to give bear hugs to whoever needs one. Supports positive mental health. Personalise with your own message.,195117,1200
https://www.etsy.com/listing/1285450378/personalized-bar-necklace-custom?click_key=63514df0ab15230d32540a4406779985c07ea5bd%3A1285450378&click_sum=c1a25874&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-5&pro=1&frs=1&edd=1,Personalized Bar Necklace • Custom Coordinates Name necklace • Engraved Nameplate Jewelry • Gold Silver • Gift for women • Gifts for her mom,554459,78
https://www.etsy.com/listing/1182504086/14k-solid-gold-butterfly-wing-earrings?click_key=d6c0bc98cec254b026190c56ae6479f85b73066a%3A1182504086&click_sum=124da075&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-6&pro=1&edd=1,"14K Solid Gold Butterfly Wing Earrings, Solid Gold Earrings, Gold Half Wing Butterfly Stud Earring, Gift for Women",1821656,198
https://www.etsy.com/listing/1196835518/16k-gold-plated-mama-necklace-for-women?click_key=1ac1a51e0dab10ffd09948a14fdfbc882e340ec7%3A1196835518&click_sum=06211f32&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-7&pro=1&edd=1&sts=1,16K Gold Plated MAMA Necklace for Women First Mother's Day Gift from Daughter New Mom Gifts Minimalist Necklaces For Mother in Law Gift,402389,25851
https://www.etsy.com/listing/1321976900/minimalist-nameplate-necklace-gold-name?click_key=eb0c358021833839bf293960e0d9f6432557bdd3%3A1321976900&click_sum=a3c71cd0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-8&pro=1&frs=1&edd=1&sts=1,"Minimalist Nameplate Necklace, Gold Name Plate Necklace, Arabic Name Necklace, Hebrew Name Necklace, Personalized Christmas Gifts For Women",745223,1984
https://www.etsy.com/listing/1096788014/dainty-name-necklace-with-birth-flower?click_key=559fc97b36e59f04ded7766ed0f8e888fdf68257%3A1096788014&click_sum=232ab593&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-9&pro=1&frs=1&edd=1&sts=1,"Dainty Name Necklace with Birth Flower, Personalized Name Necklace, Custom Gold Name Jewelry, Birthday Gift for Her, Bridesmaid Gift",361133,8733
https://www.etsy.com/listing/1104434634/belly-button-cleaner-joke-present-gift?click_key=2563adaa371a797f92960323ad7714a5121be066%3A1104434634&click_sum=b4c58563&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-10&edd=1&pop=1,"Belly button cleaner, joke present, gift for him, birthday gifts, secret santa, stocking fillers, Christmas gift, gift for you, joke gift",48828,2678
https://www.etsy.com/listing/1110070444/personalized-birth-flower-necklace-with?click_key=16261a49fc9e13a46c85a08c3026083079817a7d%3A1110070444&click_sum=41020404&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-11&pro=1&frs=1&edd=1&sts=1,"Personalized Birth Flower Necklace with Name, Floral Necklace, Engraved Necklace, Mom Necklace, Bridesmaid Gift, Birthday Gift for Her",294009,869
https://www.etsy.com/listing/932218890/slate-coaster-personalised-your-drink?click_key=27a95e7141c6f41ec6cfca60806f2edfcfa929be%3A932218890&click_sum=4959cc4f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-12&edd=1&pop=1,"Slate Coaster, Personalised Your Drink Here, Tea Coffee Gin Beer Wine Whisky Laser Engraved Gift, Wedding, Birthday, Anniversary, Christmas",195117,14666
https://www.etsy.com/listing/1121521061/christmas-personalized-candle-favors?click_key=cbed81a56e94221f92d1f20a578a4f854636a573%3A1121521061&click_sum=f4cdf1b4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-13&pro=1&edd=1&sts=1,"Christmas Personalized Candle Favors, Christmas Gifts, Christmas Rustic Favors, Happy New Year, Happy Holiday, Thanksgiving Custom Favors",26911,4987
https://www.etsy.com/listing/858660744/christmas-gift-for-her-gift-for?click_key=e31b6a323bc78d82e56ba40999b27b1486860ff3%3A858660744&click_sum=3705f1bf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-14&pro=1&edd=1&sts=1,Christmas gift for her gift for girlfriend gift for her Christmas gift ideas gift for mum gift for sister gift for woman custom gift box,117188,10004
https://www.etsy.com/listing/1035684640/personalised-song-plaque-with-stand-any?click_key=f9490a2c3a2c204a1dc0bf1f0b2888448057b640%3A1035684640&click_sum=75d21972&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-15&frs=1&edd=1&pop=1,"Personalised Song Plaque With Stand, Any Photo / Song, Any Playlist, Album Cover, Music Gift, Music Prints",439453,3332
https://www.etsy.com/listing/1213617116/anniversary-gifts-personalized-gifts?click_key=f1eebe5940706a6ed08eb65ebcb7c692d97b433b%3A1213617116&click_sum=3d6d2eab&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227219-1-16&pro=1&edd=1&sts=1,"Anniversary gifts, Personalized gifts, Girlfriend gift, Birthday gifts for her, Personalized gifts for her, Wife gift, Christmas gifts",398089,2759
https://www.etsy.com/listing/663726819/genuine-leather-tote-bag-leather?click_key=9f8e74e6a708b699d089673ef19a59bf3f5016a2%3A663726819&click_sum=eb6d5478&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-9&pro=1&frs=1&edd=1,Genuine Leather Tote Bag Leather Anniversary Wedding Gift for Women Men Zipper Leather Purse Custom Gift for Her Travel Essential,878981,4350
https://www.etsy.com/listing/1294199153/jewelry-organizer-travel-jewelry-box?click_key=ab3f3a3418d92aaaaeabb25786a9602f68487a78%3A1294199153&click_sum=83bdb9d5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=gift+for+women&ref=search_grid-227218-1-10&pro=1&frs=1&edd=1&sts=1,Jewelry Organizer | Travel Jewelry Box | Bridesmaid Jewelry Box | Personalized Gift for Women | Bridal Party Gift | Personalized Boxes,112728,430
